단원명,문제번호,문제,정답,해설
물권적 청구권 ,273," 甲이 점유하고 있는 물건을 乙이 침탈하여 선의의 丙에게 양도하고, 다시 丙이 악의의 J에게 양도한 때에는 甲은 丁에게 점유물반환청구권을 행사할 수 없다. ★",X,"•점유물반환청구권 
*침탈 →사기 X 
*선의의 제3자에게 행사 X 
*1년(출소기간) "
물권적 청구권 ,274, 점유물반환청구권은 침탈을 당한 날부터 1년내에 행사하여야 한다,O,"•점유물반환청구권 
*침탈 →사기 X 
*선의의 제3자에게 행사 X 
*1년(출소기간) "
물권적 청구권 ,275,직접점유자가 임의로 점유를 타인에게 양도한 경우에는 그 점유이전의 간접점유자의 의사에 반하더라도 간접점유자의 점유가 침탈된 경우에 해당하지 않는다. ,O,직접점유자가 점유물을 제3자에게 양도한 경우→ 점유물반환청구 X 
물권적 청구권 ,276," 직접점유자가 임의로 점유물을 제3자에게 양도한 경우, 간접점유자는 제3자에게 점유물 반환을 청구할 수 있다.  ",X,직접점유자가 점유물을 제3자에게 양도한 경우→ 점유물반환청구 X 
물권적 청구권 ,277,"저당권자는 목적물에서 임의로 분리, 반출된 물건을 자신에게 반환할 것을 청구할 수 없다. ★★",O,"지역권, 저당권→반환청구 X, 방해제거O방해예방O"
물권적 청구권 ,278,소유권에 기한 소유물반환청구권 규정은 지역권에 준용된다.  ★,X,"지역권, 저당권→반환청구 X, 방해제거O방해예방O"
물권적 청구권 ,279,지역권자는 지역권을 방해하는자에게 방해의 제거를 청구할 수 있다. ,O,"지역권, 저당권→반환청구 X, 방해제거O방해예방O"
물권적 청구권 ,280,"甲의 자전거를 수리하여 생긴 수리비채권을 확보하기 위하여 乙이 자전거를 유치하던 중 丙이 그 자전거를 절취한 경우, 乙은 유치권에 기한 반환청구권을 행사할 수 있다.  ★",X,유치권→유치권에 기한 물권적 청구권 X 
물권적 청구권 ,281,유치권자는 점유의 침탈을 당한 때에는 점유권에 기한 반환청구권을 행사할 수 있다,O,유치권→유치권에 기한 물권적 청구권 X 
부동산물권변동,282,매매를 원인으로 한 소유권이전등기청구소송에서 승소판결이 확정된 경우에도 등기하여야 소유권을 취득한다. ★★,O,"•등기를 요하는 부동산물권변동 
1 법률행위 2 점유취득시효완성 "
부동산물권변동,283,"소유권이전을 내용으로 하는 화해조서가 작성된 경우, 등기 없이도 소유권을 취득한다.  ",X,"•등기를 요하는 부동산물권변동 
1 법률행위 2 점유취득시효완성 "
부동산물권변동,284,부동산에 대한 합유지분의 포기는 형성권의 행사이므로 등기하지 않더라도 포기의 효력이 생긴다.  ★★,X,"•등기를 요하는 부동산물권변동 
1 법률행위 2 점유취득시효완성 "
부동산물권변동,285,강제경매로 인해 성립한 관습법상 법정지상권을 법률행위에 의해 양도하기 위해서는 등기가 필요하다. ,O,"•등기를 요하는 부동산물권변동 
1 법률행위 2 점유취득시효완성 "
부동산물권변동,286,공유물분할의 조정절차에서 협의에 의하여 조정조서가 작성되더라도 그 즉시 공유관계가 소멸하지는 않는다. ★★,O,"•등기를 요하는 부동산물권변동 
1 법률행위 2 점유취득시효완성 "
부동산물권변동,287,미등기부동산의 점유자는 취득시효완성만으로 즉시 부동산의 소유권을 취득한다.  ★★,X,"•등기를 요하는 부동산물권변동 
1 법률행위 2 점유취득시효완성 "
부동산물권변동,288,공유물분할판결에 의해 물권변동의 효력이 생기기 위해서는 등기를 요하지 않는다. ★★,O,"•등기를 요하는 부동산물권변동 
1 법률행위 2 점유취득시효완성 "
부동산물권변동,289,등기를 요하지 않는 물권취득의 원인인 판결이란 이행판결을 의미한다.  ★★,X,"•등기를 요하는 부동산물권변동 
1 법률행위 2 점유취득시효완성 "
부동산물권변동,290,상속인은 상속 부동산에 대한 등기를 한 때 소유권을 취득한다.  ,X,"•등기를 요하는 부동산물권변동 
1 법률행위 2 점유취득시효완성 "
부동산물권변동,291,경매의 매수인은 대금완납시에 등기 없이도 소유권을 취득한다. ,O,"•등기를 요하는 부동산물권변동 
1 법률행위 2 점유취득시효완성 "
부동산물권변동,292,신축에 의한 건물소유권취득에는 소유권보존등기를 요하지 않는다. ,O,"•등기를 요하는 부동산물권변동 
1 법률행위 2 점유취득시효완성 "
부동산물권변동,293,전세권의 존속기간이 만료되면 전세권의 용익물권적 권능은 말소등기 없이도 소멸한다. ,O,"•등기를 요하는 부동산물권변동 
1 법률행위 2 점유취득시효완성 "
부동산물권변동,294,피담보채권이 소멸하면 저당권은 말소등기 없이도 소멸한다.,O,"•등기를 요하는 부동산물권변동 
1 법률행위 2 점유취득시효완성 "
부동산물권변동,295,"전세권이 법정갱신된 경우, 전세권자는 등기 없이 전세권설정자로부터 목적물을 취득한 제3자에 대하여 갱신된 권리를 주장할 수 없다.  ★★",X,"•등기를 요하는 부동산물권변동 
1 법률행위 2 점유취득시효완성 "
부동산물권변동,296,법정지상권자는 그에 관한 등기 없이도 토지소유권을 취득한 선의의 제3자에게 지상권을 주장할 수 있다. ★★,O,"•등기를 요하는 부동산물권변동 
1 법률행위 2 점유취득시효완성 "
부동산물권변동,297, 매매로 인한 소유권이전등기청구권은 특별한 사정이 없는 한 그 권리의 성질상 양도가 제한되고 그 양도에 채무자의 동의를 요한다. ★★ ,O,"• 매수인의 등기청구권→채권적 청구권 
*통상의 채권양도의 법리에 따라 양도 X 
*제3자에게 처분하고 점유를 승계하여 준 경우→ 소멸시효 진행X 
*제3자의 점유침탈에 의해 점유를 상실한 경우→소멸시효 진행O"
부동산물권변동,298,매수인의 매도인에 대한 소유권이전등기청구권의 양도는 매도인에 대한 통지만으로 대항력이 생긴다.  ★★,X,"• 매수인의 등기청구권→채권적 청구권 
*통상의 채권양도의 법리에 따라 양도 X 
*제3자에게 처분하고 점유를 승계하여 준 경우→ 소멸시효 진행X 
*제3자의 점유침탈에 의해 점유를 상실한 경우→소멸시효 진행O"
부동산물권변동,299,매수인이 부동산을 인도받아 사용·수익하고 있는 이상 매수인의 이전등기청구권은 시효로 소멸하지 않는다. ★★,O,"• 매수인의 등기청구권→채권적 청구권 
*통상의 채권양도의 법리에 따라 양도 X 
*제3자에게 처분하고 점유를 승계하여 준 경우→ 소멸시효 진행X 
*제3자의 점유침탈에 의해 점유를 상실한 경우→소멸시효 진행O"
부동산물권변동,300,매수인이 인도받아 점유하고 있다가 제3자에게 처분 후 점유를 승계하여 준 경우 매수인의 등기청구권은 소멸시효에 걸리지 않는다. ★★ ,O,"• 매수인의 등기청구권→채권적 청구권 
*통상의 채권양도의 법리에 따라 양도 X 
*제3자에게 처분하고 점유를 승계하여 준 경우→ 소멸시효 진행X 
*제3자의 점유침탈에 의해 점유를 상실한 경우→소멸시효 진행O"
부동산물권변동,301,제3자에 의해 매수인이 점유를 침탈당한 경우에는 점유상실시부터 매수인의 등기청구권은 소멸시효가 진행한다. ,O,"• 매수인의 등기청구권→채권적 청구권 
*통상의 채권양도의 법리에 따라 양도 X 
*제3자에게 처분하고 점유를 승계하여 준 경우→ 소멸시효 진행X 
*제3자의 점유침탈에 의해 점유를 상실한 경우→소멸시효 진행O"
부동산물권변동,302, 취득시효완성 후 소유권이전등기청구권의 양도는 특별한 사정이 없는 한 등기 의무자에게 통지함으로써 그에게 대항할 수 있다. ★★,O,"•시효완성자의 등기청구권→채권적 청구권 
*통상의 채권양도의 법리에 따라 양도O
*시효완성자가 점유를 계속→소멸시효 진행 X 
*시효완성자가 점유를 상실→소멸시효 진행O→바로 소멸 X "
부동산물권변동,303,취득시효완성으로 인한 소유권이전등기청구권은 시효완성 당시의 등기명의인이 동의해야만 양도할 수 있다.  ★★,X,"•시효완성자의 등기청구권→채권적 청구권 
*통상의 채권양도의 법리에 따라 양도O
*시효완성자가 점유를 계속→소멸시효 진행 X 
*시효완성자가 점유를 상실→소멸시효 진행O→바로 소멸 X "
부동산물권변동,304,점유취득시효 완성으로 인한 이전등기청구권은 점유가 계속되는 동안에는 시효로 소멸 하지 않는다. ,O,"•시효완성자의 등기청구권→채권적 청구권 
*통상의 채권양도의 법리에 따라 양도O
*시효완성자가 점유를 계속→소멸시효 진행 X 
*시효완성자가 점유를 상실→소멸시효 진행O→바로 소멸 X "
부동산물권변동,305,"점유취득시효완성자가 그 토지에 대한 점유상실 시, 특별한 사정이 없는 한 시효 완성을 원인으로 한 등기청구권도 즉시 소멸한다.  ★★ ",X,"•시효완성자의 등기청구권→채권적 청구권 
*통상의 채권양도의 법리에 따라 양도O
*시효완성자가 점유를 계속→소멸시효 진행 X 
*시효완성자가 점유를 상실→소멸시효 진행O→바로 소멸 X "
부동산물권변동,306," 甲소유의 부동산을 乙이 등기에 필요한 문서를 위조하여 乙명의로 등기한 경우, 甲의 말소등기청구권은 물권적 청구권이다. ★",O,"위조,무효,취소,해제,합의해제,해제조건성취→물권적청구권→소멸시효 X "
부동산물권변동,307,가등기에 기한 소유권이전등기청구권이 시효완성으로 소멸된 후 그 부동산을 취득한 제3자가 가등기권자에 대해 갖는 등기말소청구권은 채권적 청구권이다.  ,X,"위조,무효,취소,해제,합의해제,해제조건성취→물권적청구권→소멸시효 X "
부동산물권변동,308,부동산 양도담보의 피담보채무가 전부 변제되었음을 이유로 양도담보권설정자가 행사하는 소유권이전등기말소청구권은 소멸시효에 걸린다.  ★,X,"위조,무효,취소,해제,합의해제,해제조건성취→물권적청구권→소멸시효 X "
부동산물권변동,309,특별한 사정이 없는 한 합의해제에 따른 부동산 매도인의 원상회복청구권은 소유권에 기한 물권적 청구권으로서 소멸시효의 대상이 되지 않는다. ,O,"위조,무효,취소,해제,합의해제,해제조건성취→물권적청구권→소멸시효 X "
부동산물권변동,310,"중간생략등기가 적법한 등기원인에 기하여 이미 경료되었다면, 중간생략등기의 합의가 없었음을 들어 등기의 말소를 구할 수는 없다. ★",O,"•중간생략등기 
*이미 등기가 경료된 경우→중간생략등기의 합의가 없더라도 유효 
*중간생략등기의 합의가 없는 경우→대위 청구만 가능 
*중간생략등기의 합의가 있는 경우→대위 청구, 직접 청구 선택 가능  
*토지거래허가구역→중간생략등기→무효 "
부동산물권변동,311,"甲은 자신의 X토지를 乙에게 매도하였고, 乙은 X토지를 丙에게 전매하였다. 甲, 乙 丙 사이에 중간생략등기에 관한 합의가 있다면, 乙의 甲에 대한 소유권이전 등기청구권은 소멸한다.  ",X,"•중간생략등기 
*이미 등기가 경료된 경우→중간생략등기의 합의가 없더라도 유효 
*중간생략등기의 합의가 없는 경우→대위 청구만 가능 
*중간생략등기의 합의가 있는 경우→대위 청구, 직접 청구 선택 가능  
*토지거래허가구역→중간생략등기→무효 "
부동산물권변동,312,"甲은 자신의 X토지를 乙에게 매도하였고, 乙은 X토지를 丙에게 전매하였다.  /甲, 乙 丙 사이에 중간생략등기에 관한 합의가 있은 후 甲 乙 간의 특약으로 매매 대금을 인상한 경우, 甲은 인상된 매매대금의 미지급을 이유로 丙에 대한 소유권 이전등기의무의 이행을 거절할 수 있다. ",O,"•중간생략등기 
*이미 등기가 경료된 경우→중간생략등기의 합의가 없더라도 유효 
*중간생략등기의 합의가 없는 경우→대위 청구만 가능 
*중간생략등기의 합의가 있는 경우→대위 청구, 직접 청구 선택 가능  
*토지거래허가구역→중간생략등기→무효 "
부동산물권변동,313,"甲은 자신의 X토지를 乙에게 매도하였고, 乙은 X토지를 丙에게 전매하였다. /甲과 乙,乙과 丙이 중간등기 생략의 합의를 순차적으로 한 경우, 丙은 甲의 동의가 없더라도 甲을 상대로 중간생략등기청구를 할 수 있다.  ",X,"•중간생략등기 
*이미 등기가 경료된 경우→중간생략등기의 합의가 없더라도 유효 
*중간생략등기의 합의가 없는 경우→대위 청구만 가능 
*중간생략등기의 합의가 있는 경우→대위 청구, 직접 청구 선택 가능  
*토지거래허가구역→중간생략등기→무효 "
부동산물권변동,314,"甲은 자신의 X토지를 乙에게 매도하였고, 乙은 X토지를 丙에게 전매하였다. /乙이 丙에게 소유권이전등기청구권을 양도하고 그 사실을 甲에게 통지한 경우, 그 사실만으로는 丙은 직접 甲에게 이전등기를 청구할 수 없다. ",O,"•중간생략등기 
*이미 등기가 경료된 경우→중간생략등기의 합의가 없더라도 유효 
*중간생략등기의 합의가 없는 경우→대위 청구만 가능 
*중간생략등기의 합의가 있는 경우→대위 청구, 직접 청구 선택 가능  
*토지거래허가구역→중간생략등기→무효 "
부동산물권변동,315,"甲은 자신의 X토지를 乙에게 매도하였고, 乙은 X토지를 丙에게 전매하였다. /만약 X토지가 토지거래허가구역에 소재한다면, 甲, 乙 丙 사이에 중간생략등기에 관한 합의가 있더라도 丙은 직접 甲에게 허가신청절차의 협력을 구할 수 없다. ",O,"•중간생략등기 
*이미 등기가 경료된 경우→중간생략등기의 합의가 없더라도 유효 
*중간생략등기의 합의가 없는 경우→대위 청구만 가능 
*중간생략등기의 합의가 있는 경우→대위 청구, 직접 청구 선택 가능  
*토지거래허가구역→중간생략등기→무효 "
등 기 ,316,등기는 물권의 효력발생요건이고 효력존속요건이다.  ★,X,등기→효력발생요건O효력존속요건 X→불법말소→물권은 효력O
등 기 ,317,乙소유의 부동산에 대한 甲의 등기부취득시효가 완성된 후 甲명의의 등기가 적법한 원인 없이 말소되더라도 甲은 소유권을 상실하지 않는다. ,O,등기→효력발생요건O효력존속요건 X→불법말소→물권은 효력O
등 기 ,318,"소유권이전등기가 불법말소된 경우, 말소된 등기의 최종명의인은 그 회복등기가 경료되기 전이라도 적법한 권리자로 추정된다. ",O,등기→효력발생요건O효력존속요건 X→불법말소→물권은 효력O
등 기 ,319,"무효인 소유권이전등기에 터 잡아 이루어진 근저당권설정등기는 무효이지만, 무효인 근저당권에 기한 경매절차에서 경락받은 자는 그 소유권을 취득할 수 있다.  ",X,등기의 공신력 X 
등 기 ,320,피담보채권의 소멸 후 저당권의 말소등기가 경료되기 전에 그 저당권부 채권의 압류 및 전부명령을 받아 저당권이전등기를 경료한 자는 그 저당권을 취득할 수 있다.  ,X,등기의 공신력 X 
등 기 ,321,보존등기의 유용 ,X,무효등기의 유용 표제부 X 
등 기 ,322,등기상 이해관계인이 없는 경우 저당권 불법말소 경매 말소회복청구 ,X,사항란O 
등 기 ,323,"甲소유 부동산에 설정된 저당권이 불법으로 말소된 후 경매로 乙에게 소유권이 이전된 경우, 배당받지 못한 저당권자는 甲을 상대로 말소회복을 청구할 수 있다.  ",X,사항란O 
등 기 ,324,기존건물이 전부 멸실된 후 그곳에 새로이 건축한 건물의 물권변동에 관한 등기를 위해 멸실된 건물의 보존등기를 유용할 수 있다.  ,X,사항란O 
등 기 ,325,사항란 등기의 유용은 등기유용합의 이전에 등기상 이해관계 있는 제3자가 나타나지 않는 경우에 한하여 허용된다. ,O,사항란O 
등 기 ,326," 중복된 소유권보존등기의 등기명의인이 동일인이 아닌 경우, 선등기가 원인무효가 아닌 한 후등기는 무효이다. 위조 실체관계에 부합 유효 ",,"•가등기 
*본등기 전→아무 효력 X →추정력 X 대항력 X 
*본등기 후→순위는소급O. 물권변동의 시기는 소급 X 
•이중보존등기 선동기 유효, 후등기 무효 "
등 기 ,327,위조문서에 의한 등기신청에 의하여 이루어진 둥기라 하더라도 실체관계에 부합하면 유효하다. ,O,"•가등기 
*본등기 전→아무 효력 X →추정력 X 대항력 X 
*본등기 후→순위는소급O. 물권변동의 시기는 소급 X 
•이중보존등기 선동기 유효, 후등기 무효 "
등 기 ,328,가등기는 물권적 청구권을 보전하기 위하여는 할 수 없다. ,O,"•가등기 
*본등기 전→아무 효력 X →추정력 X 대항력 X 
*본등기 후→순위는소급O. 물권변동의 시기는 소급 X 
•이중보존등기 선동기 유효, 후등기 무효 "
등 기 ,329,"가등기가 경료된 후 소유자가 변경된 경우, 가등기에 기한 본등기는 가등기의무자가 아닌 현재소유자에게 청구해야 한다.  ",X,"•가등기 
*본등기 전→아무 효력 X →추정력 X 대항력 X 
*본등기 후→순위는소급O. 물권변동의 시기는 소급 X 
•이중보존등기 선동기 유효, 후등기 무효 "
등 기 ,330,"가등기에 기한 본등기가 경료되면, 등기공무원은 그 가등기 후에 한 제3자 명의의 소유권 이전등기를 직권으로 말소하여야 한다. ",O,"•가등기 
*본등기 전→아무 효력 X →추정력 X 대항력 X 
*본등기 후→순위는소급O. 물권변동의 시기는 소급 X 
•이중보존등기 선동기 유효, 후등기 무효 "
등 기 ,331,가등기에 기하여 본등기가 경료되면 물권변동의 효력은 가등기한 때로 소급하여 발생한다.  ,X,"•가등기 
*본등기 전→아무 효력 X →추정력 X 대항력 X 
*본등기 후→순위는소급O. 물권변동의 시기는 소급 X 
•이중보존등기 선동기 유효, 후등기 무효 "
등 기 ,332, 가등기된 권리의 이전등기는 가등기에 대한 부기등기의 형식으로 할 수 있다. ,O,"•가등기 
*본등기 전→아무 효력 X →추정력 X 대항력 X 
*본등기 후→순위는소급O. 물권변동의 시기는 소급 X 
•이중보존등기 선동기 유효, 후등기 무효 "
등 기 ,333,소유권이전청구권 보전을 위한 가등기가 있으면 소유권이전등기를 청구할 어떠한 법률관계가 있다고 추정된다.  ★★,X,"•등기의 추정력 
*가등기 추정력 X 
*소유권보존등기→ 원시취득한 사실이 추정 
*소유권이전등기→ 승계취득한 사실이 추정 "
등 기 ,334,소유권보존등기의 명의자가 건물을 신축한 것이 아니더라도 등기의 추정력은 인정된다.  ★★ ,X,"•등기의 추정력 
*가등기 추정력 X 
*소유권보존등기→ 원시취득한 사실이 추정 
*소유권이전등기→ 승계취득한 사실이 추정 "
등 기 ,335,소유권보존등기의 명의인이 부동산을 양수받은 것이라 주장하고 전소유자는 양도사실을 부인하는 경우에도 그 보존등기의 추정력은 인정된다.  ,X,"•등기의 추정력 
*가등기 추정력 X 
*소유권보존등기→ 원시취득한 사실이 추정 
*소유권이전등기→ 승계취득한 사실이 추정 "
등 기 ,336,"「임야소유권 이전등기에 관한 특별조치법」에 의한 소유권보존등기가 경료된 임야에 관하여는 그 임야를 사정받은 사람이 따로 있는 것이 사후에 밝혀진 경우라도, 그 등기는 실체적 권리관계에 부합하는 등기로 추정된다. ",O,"•등기의 추정력 
*가등기 추정력 X 
*소유권보존등기→ 원시취득한 사실이 추정 
*소유권이전등기→ 승계취득한 사실이 추정 "
등 기 ,337,소유권이전등기의 원인으로 주장된 계약서가 진정하지 않은 것으로 증명된 경우에는 그 등기의 추정력은 깨진다. ,O,"•등기의 추정력 
*가등기 추정력 X 
*소유권보존등기→ 원시취득한 사실이 추정 
*소유권이전등기→ 승계취득한 사실이 추정 "
등 기 ,338,소유권이전등기명의자는 제3자뿐만 아니라 그 전소유자에 대하여도 적법한 등기원인에 의하여 소유권을 취득한 것으로 추정된다. ,O,"•등기의 추정력 
*가등기 추정력 X 
*소유권보존등기→ 원시취득한 사실이 추정 
*소유권이전등기→ 승계취득한 사실이 추정 "
등 기 ,339,"매매를 원인으로 甲에게서 Z 앞으로 마쳐진 소유권이전등기에 대해 甲이 말소를 청구하는 경우, 乙은 등기의 추정력을 주장할 수 없다.  ",X,"•등기의 추정력 
*가등기 추정력 X 
*소유권보존등기→ 원시취득한 사실이 추정 
*소유권이전등기→ 승계취득한 사실이 추정 "
등 기 ,340,등기명의인이 등기원인을 다소 다르게 주장한다고 하여 이로써 추정력이 깨어지는 것은 아니다. ,O,"•등기의 추정력 
*가등기 추정력 X 
*소유권보존등기→ 원시취득한 사실이 추정 
*소유권이전등기→ 승계취득한 사실이 추정 "
등 기 ,341,매매로 인한 소유권이전등기에서 등기명의자가 등기원인을 증여로 주장하였다면 등기의 추정력은 깨진다.  ,X,"•등기의 추정력 
*가등기 추정력 X 
*소유권보존등기→ 원시취득한 사실이 추정 
*소유권이전등기→ 승계취득한 사실이 추정 "
등 기 ,342,등기명의자가 허무인으로부터 소유권이전등기를 이어받았다는 사실만으로는 그 등기의 추정력은 깨지지 않는다.  ,X,"•등기의 추정력 
*가등기 추정력 X 
*소유권보존등기→ 원시취득한 사실이 추정 
*소유권이전등기→ 승계취득한 사실이 추정 "
등 기 ,343,"사망자 명의로 신청하여 이루어진 소유권이전등기는 추정력이 인정될 수 없으나, 등기 의무자의 사망 전에 그 등기원인이 이미 존재하는 때에는 추정력이 인정된다. ",O,"•등기의 추정력 
*가등기 추정력 X 
*소유권보존등기→ 원시취득한 사실이 추정 
*소유권이전등기→ 승계취득한 사실이 추정 "
등 기 ,344, 근저당권등기가 행해지면 피담보채권뿐만 아니라 그 피담보채권을 성립시키는 기본계약의 존재도 추정된다.  ,X,"•등기의 추정력 
*가등기 추정력 X 
*소유권보존등기→ 원시취득한 사실이 추정 
*소유권이전등기→ 승계취득한 사실이 추정 "
혼동,345,"甲소유의 토지를 지상권자 乙이 점유하고 있던 중 乙이 토지소유권을 취득한 경우, 乙의 점유권은 혼동으로 소멸한다.  ★",X,점유권 →혼동으로 소멸 X 
혼동,346,"甲토지 위에 乙 1번 저당권, 丙 2번 저당권을 가지고 있다가 乙이 증여받아 토지 소유권을 취득하더라도 1번 저당권은 소멸하지 않는다. ★ ",O,제3자 권리→ 소멸 X 
혼동,347,"甲이 1번 저당권, 乙이 2번 저당권 취득한 토지를 丙이 가압류한 후 乙이 토지를 매수, 소유권을 취득하면, 乙의 저당권은 소멸하지 않는다. ",O,제3자 권리→ 소멸 X 
혼동,348,"후순위 저당권이 있는 부동산의 소유권을 선순위 저당권자가 아무런 조건 없이 증여 받아 취득한 경우, 혼동에 의해 저당권은 소멸한다.  ",X,제3자 권리→ 소멸 X 
혼동,349,"후순위 저당권이 존재하는 주택을 대항력을 갖춘 임차인이 경매절차에서 매수한 경우, 임차권은 혼동으로 소멸한다. ",O,제3자 권리→ 소멸 X 
혼동,350,"乙이 甲토지 위에 지상권을 설정받고 丙이 그 지상권 위에 저당권을 취득한 후 乙이 甲으로부터 그 토지를 매수한 경우, 乙의 지상권은 소멸하지 않는다. ",O,제3자 권리→ 소멸 X 
혼동,351,"乙이 甲의 토지 위에 지상권을 설정받고 丙이 그 지상권 위에 저당권을 취득한 후 丙이 乙로부터 지상권을 취득한 경우, 丙의 저당권은 소멸한다. ★",O,제3자 권리→ 소멸 X 
혼동,352,"가등기에 기한 본등기절차에 의하지 않고 별도의 이전등기를 경료받은 경우, 제3자 명의로 중간처분의 등기가 있으면 가등기에 기한 본등기를 청구할 수 있다. ",O,가등기에 기한 본등기청구권 
혼동,353,"가등기에 기한 본등기절차에 의하지 않고 별도의 이전등기를 경료받은 경우, 제3자 명의로 중간처분의 등기가 없으면 가등기에 기한 본등기를 청구할 수 없다. ",O,가등기에 기한 본등기청구권 
혼동,354,혼동으로 인한 물권소멸의 효력은 등기 없이도 발생한다. ★,O,혼동→등기 X 
혼동,355,"혼동의 원인인 매매계약이 취소되면, 소멸된 물권은 말소회복등기 없이도 당연히 부활 한다. ",O,혼동→등기 X 
혼동,356,"부동산 근저당권자가 그 소유권을 취득하여 근저당권이 혼동으로 소멸한 경우, 그 소유권 취득이 무효인 것이 밝혀졌더라도 소멸하였던 근저당권은 부활하지 않는다.  ",X,혼동→등기 X 
점유권 ,357,불법점유자는 그 점유가 방해되어도 방해배제를 청구할 수 없다.  ,X,불법점유자→점유보호청구권O
점유권 ,358,점유권에 기인한 소는 본권에 관한 이유로 재판할 수 없다. ,O,불법점유자→점유보호청구권O
점유권 ,359,"건물 공유자 중 일부만이 당해 건물을 점유하고 있는 경우, 그 건물의 부지는 건물 공유자 전원이 공동으로 점유하는 것으로 볼 수 있다. ★",O,건물소유자→토지점유자 
점유권 ,360,건물소유자가 아닌 자는 건물을 점유하고 있더라도 특별한 사정이 없는 한 토지를 점유하는 자라고 볼 수 없다. ★,O,건물소유자→토지점유자 
점유권 ,361,"미등기건물의 양수인은 그 건물에 대한 사실상의 처분권을 보유하고 있으므로, 건물부지를 점유하는 것으로 볼 수 있다. ★",O,"건물소유자 X, 건물에 대한 처분권O→토지점유자"
점유권 ,362,미등기건물 양도담보계약상의 채권자 지위를 승계하여 건물을 관리하는 자는 건물에 대한 철거처분권을 가진 자에 해당한다.  ,X,"건물소유자 X, 건물에 대한 처분권O→토지점유자"
점유권 ,363,간접점유의 점유매개관계는 중첩적으로 있을 수 있다. ,O,간접점유자→점유매개관계→점유권O
점유권 ,364,간접점유의 요건이 되는 점유매개관계는 법률행위가 아닌 법률규정에 의해서는 발생할 수 없다.  ,X,간접점유자→점유매개관계→점유권O
점유권 ,365,점유매개자의 점유를 통한 간접점유에 의해서도 점유에 의한 시효취득이 가능하다. ,O,간접점유자→점유매개관계→점유권O
점유권 ,366,"점유자는 소유의 의사로 선의, 평온, 공연, 무과실로 점유한 것으로 추정된다.  ★",X,점유자→무과실→추정 X→스스로 입증 
점유권 ,367,점유자는 스스로 자주점유임을 증명하여야 한다.  ,X,점유자→무과실→추정 X→스스로 입증 
점유권 ,368,부동산 등기명의인을 소유자로 믿고 그 부동산을 매수하여 점유하는 자는 특별한 사정이 없는 한 과실 없는 점유자에 해당한다. ,O,등기를 신뢰 →무과실 추정O
점유권 ,369,점유자가 점유물에 대하여 행사하는 권리는 적법하게 보유한 것으로 추정된다. ,O,점유자→권리추정→동산O부동산X 
점유권 ,370,점유자의 권리적법추정은 특별한 사정이 없는 한 등기된 부동산물권에도 적용된다.  ★ ,X,점유자→권리추정→동산O부동산X 
점유권 ,371,전후 양 시점의 점유자가 다른 경우에는 점유의 승계가 증명되더라도 점유가 계속된 것으로 추정되지 않는다.  ★ ,X,전후 양 시점의 점유자가 상이→점유의 승계가 입증→점유계속은 추정 
점유권 ,372,점유자의 점유가 자주점유인지 타주점유인지의 여부는 점유자의 내심의 의사에 의하여 결정된다.  ★ ,X,자주점유와 타주점유→권원의 성질에 의하여 객관적으로 결정 
점유권 ,373,점유매개자의 점유는 자주점유이다.  ★,X,자주점유와 타주점유→권원의 성질에 의하여 객관적으로 결정 
점유권 ,374, 타인의 토지에 분묘기지권자는 타주점유자이다. ,O,자주점유와 타주점유→권원의 성질에 의하여 객관적으로 결정 
점유권 ,375,"매수인이 착오로 인접 토지의 일부를 그가 매수한 토지에 속하는 것으로 믿고 점유한 경우, 그 점유방법이 분묘를 설치관리하는 것이라도 자주점유이다. ★ ",O,자주점유와 타주점유→권원의 성질에 의하여 객관적으로 결정 
점유권 ,376, 매매대상 토지의 면적이 공부상 면적을 상당히 초과하는 경우 그 초과부분에 대한 점유는 타주점유이다. ★ ,O,자주점유와 타주점유→권원의 성질에 의하여 객관적으로 결정 
점유권 ,377,"공유자 1인이 공유토지 전부를 점유하고 있는 경우, 다른 특별한 사정이 없는 한 토지 전부에 대한 자주점유가 인정된다.  ",X,자주점유와 타주점유→권원의 성질에 의하여 객관적으로 결정 
점유권 ,378,피상속인의 점유가 타주점유라 하더라도 선의의 상속인은 자주점유로 인정된다.  ,X,자주점유와 타주점유→권원의 성질에 의하여 객관적으로 결정 
점유권 ,379,타주점유자인 피상속인을 상속한 자가 새로운 권원에 의하여 다시 소유의 의사로 점유한 경우에는 자주점유로 전환된다. ,O,자주점유와 타주점유→권원의 성질에 의하여 객관적으로 결정 
점유권 ,380,"전점유자의 점유가 타주점유라 하더라도 점유자의 승계인은 자기의 점유만을 주장할 수 있으며, 이 경우 승계인의 점유는 자주점유로 추정된다. ★",O,자주점유와 타주점유→권원의 성질에 의하여 객관적으로 결정 
점유권 ,381,"점유자의 승계인이 자기의 점유만을 주장하는 경우에도, 전 점유자의 점유가 타주점유라면 현 점유자의 점유는 타주점유로 추정된다.  ",X,자주점유와 타주점유→권원의 성질에 의하여 객관적으로 결정 
점유권 ,382,"양자간 등기명의신탁에 있어서 부동산의 명의수탁자의 상속인에 의한 점유는 특별한 사정이 없는 한, 타주점유에 해당한다. ",O,자주점유와 타주점유→권원의 성질에 의하여 객관적으로 결정 
